RazonSocial,DenominacionFondo,TipoFondo,FechaInscripcion,ResolucionInscripcion,Moneda,FechaInformacion,PatrimonioInscrito,ValorCuota,NumeroParticipes,NumeroCuotas
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Fondos Credicorp Capital Conservador Mediano Plazo Dólares Fmiv,FONDO MUTUO,1996-01-09,Resolución CONASEV 004-1996-EF/94.10,Dolares,2026-02-28,1034819953.34,285.090904,7366.0,1081775.482218
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Conservador Liquidez Dolares Fmiv,FONDO MUTUO,1998-10-06,Resolución CONASEV 137-1998-EF/94.10,Dolares,2026-02-28,5625593932.88,197.39664,24275.0,8493453.730815
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Conservador Liquidez Soles Fmiv,FONDO MUTUO,1998-10-06,Resolución CONASEV 137-1998-EF/94.10,Soles,2026-02-28,2730394671.73,352.935746,40490.0,7736237.269792
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Moderado Fmiv ( Antes Bcp Moderado Fmiv),FONDO MUTUO,1995-01-25,Resolución CONASEV 053-1995-EF/94.10,Dolares,2026-02-28,44459496.97,65.317467,598.0,202857.425267
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Conservador Mediano Plazo Soles Fmiv,FONDO MUTUO,2007-02-22,Resolución de Gerencia General 035-2007-EF/94.11,Soles,2026-02-28,876753033.2,224.074796,7994.0,3912769.354496
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Equilibrado Fmiv ( Antes Bcp Equilibrado Fmiv),FONDO MUTUO,2007-02-22,Resolución de Gerencia General 036-2007-EF/94.11,Dolares,2026-02-28,69823912.1,189.285906,976.0,109936.422085
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Crecimiento Vcs Fmiv (Ant Bcp Crecimiento Soles Fmiv,FONDO MUTUO,2008-05-30,Resolución Directoral de Patrimonios Autónomos 032-2008-EF/94.06.2,Soles,2026-02-28,121711503.4,225.873431,2218.0,538848.25774
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Fondos Credicorp Capital Renta Futura Soles Ii Fmiv,FONDO MUTUO,2008-05-30,Resolución Directoral de Patrimonios Autónomos 033-2008-EF/94.06.2,Soles,2026-02-28,6386731.35,116.080484,815.0,55019.850093
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Acciones Fmiv (Ant Bcp Acciones Fmiv),FONDO MUTUO,2006-12-28,Resolución de Gerencia General 155-2006-EF/94.11,Dolares,2026-02-28,111347384.11,306.463662,1574.0,108282.115354
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Moderado Vcs Fmiv (Antes Bcp Moderado Soles Fmiv),FONDO MUTUO,2008-05-30,Resolución Directoral de Patrimonios Autónomos 031-2008-EF/94.06.2,Soles,2026-02-28,32638906.17,184.734631,837.0,176679.954385
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Fondos Credicorp Capital Deuda Global Fmiv,FONDO MUTUO,2012-11-19,Resolución IG Entidades 147-2012-SMV/10.2,Dolares,2026-02-28,27572468.75,123.763333,1200.0,66401.752496
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Fondos Credicorp Capital Acciones Latam  Fmiv,FONDO MUTUO,2012-05-14,Resolución IG Entidades Nº 40-2012-SMV/10.2,Dolares,2026-02-28,37466808.35,77.52679,1342.0,144029.216791
